cte,cte_pid,pos_x,pos_y
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0674,-0.0191,125.1239,1.8575
0.0254,0.0338,125.029,1.7
0.0,0.0,125.029,1.7
0.0,0.0,125.029,1.7
0.0,0.0,125.029,1.7
0.0,-0.0027,125.029,1.7253
0.0,-0.0025,125.029,1.745
0.0,-0.0012,125.029,1.7638
0.0,-0.0003,125.029,1.7679
0.0,-0.0004,125.029,1.7658
0.0,-0.0005,125.029,1.7605
0.0,-0.0003,125.029,1.7577
0.0,-0.0001,125.029,1.7557
0.0,0.0,125.029,1.7557
0.0,-0.0001,125.029,1.7565
0.0,-0.0001,125.029,1.7571
0.0,0.0,125.029,1.7577
0.0,0.0,125.029,1.7579
0.0,0.0,125.029,1.7578
0.0,0.0,125.029,1.7577
0.0,-0.0001,125.029,1.7576
-0.0001,-0.0011,125.0291,1.7575
-0.0002,-0.003,125.0297,1.7574
-0.0003,-0.0042,125.0304,1.7573
-0.0006,-0.006,125.0319,1.7572
-0.0007,-0.0073,125.0332,1.7571
-0.001,-0.009,125.0356,1.757
-0.0012,-0.01,125.0376,1.7569
-0.0014,-0.0113,125.041,1.7568
-0.0015,-0.0119,125.0436,1.7568
-0.0016,-0.0125,125.048,1.7566
0.0005,-0.0128,125.0513,1.7566
-0.001,-0.0127,125.0566,1.7565
-0.002,-0.0387,125.0606,1.7564
-0.0036,-0.0419,125.0669,1.7563
-0.0047,-0.0438,125.0715,1.7562
-0.0027,-0.0338,125.0824,1.7561
0.0008,-0.0247,125.0907,1.7561
0.0022,-0.0117,125.1035,1.756
0.0024,-0.0325,125.1116,1.7559
0.0012,-0.0325,125.1229,1.7558
-0.0006,-0.0366,125.1298,1.7558
0.0,-0.0304,125.1434,1.7563
0.0004,-0.0401,125.1537,1.7571
0.0017,-0.0269,125.1703,1.7571
0.0024,-0.0197,125.1815,1.7568
0.0054,-0.0022,125.2006,1.7563
0.0068,0.0028,125.2134,1.7561
0.0079,0.0064,125.2318,1.756
0.007,0.0021,125.2428,1.756
0.0047,0.0001,125.2587,1.7561
0.0033,-0.0063,125.2692,1.7561
0.0019,-0.0071,125.2861,1.756
0.0011,-0.0088,125.298,1.756
0.0031,0.0217,125.3174,1.7559
0.0048,0.0268,125.3308,1.7559
0.0074,0.0402,125.3515,1.7558
0.0084,0.0784,125.3627,1.7558
0.0077,0.0528,125.3776,1.7558
0.0048,0.0327,125.386,1.7557
-0.0011,0.0437,125.3921,1.7557
-0.0047,0.013,125.3966,1.7557
-0.006,0.0784,125.4071,1.7557
-0.0046,0.0689,125.4134,1.7556
0.0003,0.0799,125.4257,1.7556
-0.0009,0.1586,125.4288,1.7556
-0.0001,0.1137,125.4308,1.7556
-0.0013,0.0835,125.4304,1.7556
-0.0153,0.0906,125.4139,1.7556
-0.0233,0.0181,125.4018,1.7556
-0.0307,-0.0494,125.3879,1.7556
-0.0323,0.061,125.3774,1.7556
-0.0235,0.0845,125.3711,1.7555
-0.0088,0.1512,125.3762,1.7555
0.0154,0.351,125.3754,1.7555
0.0278,0.3324,125.3629,1.7556
0.0318,0.4607,125.3466,1.7556
0.024,0.2874,125.3035,1.7556
0.0085,0.1644,125.2679,1.7556
-0.0188,0.1059,125.1945,1.7557
-0.04,-0.0436,125.1427,1.7557
-0.0595,0.0511,125.0771,1.7557
-0.0572,0.0368,125.0403,1.7557
-0.039,0.1032,125.0003,1.7557
-0.0279,0.134,124.9732,1.7557
-0.008,0.2679,124.9292,1.7557
-0.0005,0.2604,124.8939,1.7557
0.0001,0.1995,124.8299,1.7557
-0.0102,0.1023,124.7768,1.7557
-0.0335,-0.062,124.6898,1.7557
-0.0466,-0.1148,124.6335,1.7557
-0.0518,-0.128,124.562,1.7557
-0.0434,-0.068,124.5265,1.7557
-0.0177,0.1122,124.4856,1.7557
0.0043,0.2128,124.4617,1.7557
0.0283,0.2954,124.4165,1.7557
0.0349,0.3407,124.3765,1.7557
0.0293,0.2221,124.2997,1.7557
0.0126,0.0919,124.2365,1.7557
-0.0263,-0.0596,124.127,1.7558
-0.0508,-0.1937,124.0536,1.7558
-0.0741,-0.2861,123.9565,1.7558
-0.0795,-0.1845,123.902,1.7558
-0.0655,-0.0824,123.8376,1.7558
-0.0439,0.0352,123.8074,1.7558
-0.0165,0.2661,123.7577,1.7559
-0.003,0.2913,123.7149,1.7559
0.0006,0.2422,123.6345,1.7559
-0.012,0.1489,123.5698,1.7559
-0.0297,0.1124,123.4623,1.7559
-0.041,0.0271,123.3905,1.7559
-0.0478,-0.0252,123.2913,1.7559
-0.0457,0.1293,123.2284,1.7559
-0.0242,0.1973,123.1456,1.7558
-0.0034,0.2717,123.0963,1.7558
0.0235,0.5044,123.0151,1.7558
0.037,0.4917,122.9527,1.7558
0.0382,0.3791,122.8417,1.7559
0.0267,0.4552,122.7561,1.7559
0.0095,0.2593,122.6172,1.7559
-0.0016,0.1565,122.5246,1.7559
-0.0344,0.1697,122.3699,1.7559
-0.0518,0.0377,122.2642,1.7559
-0.0673,-0.0648,122.116,1.7559
-0.0802,-0.1177,122.0173,1.7559
-0.0675,0.1469,121.8789,1.7559
-0.0475,0.2139,121.7977,1.7559
-0.0084,0.3619,121.6861,1.7559
0.0291,0.7285,121.6105,1.7559
0.0719,0.7757,121.4857,1.7559
0.0818,0.7383,121.393,1.7559
0.1094,0.9332,121.2418,1.756
0.1145,0.8147,121.1309,1.756
0.108,0.6233,120.9523,1.7561
0.097,0.794,120.8237,1.7561
0.0886,0.5979,120.6273,1.7561
0.0876,0.5086,120.498,1.7561
0.0775,0.7026,120.292,1.756
0.0777,0.5988,120.1536,1.756
0.0832,0.5097,119.9454,1.756
0.0797,0.8244,119.8002,1.756
0.096,0.7338,119.5802,1.756
0.106,0.6844,119.4296,1.756
0.1094,0.926,119.1938,1.756
0.1177,0.8287,119.0318,1.756
0.1203,0.6827,118.7775,1.756
0.1097,0.5282,118.6007,1.756
0.103,0.6467,118.3286,1.756
0.0995,0.538,118.1453,1.756
0.1062,0.7814,117.8745,1.756
0.1181,0.7169,117.6914,1.7559
0.1333,0.6513,117.4155,1.7559
0.1322,0.5694,117.2259,1.7559
0.1392,0.7139,116.9326,1.756
0.1375,0.6104,116.7317,1.756
0.1291,0.4726,116.4264,1.756
0.1279,0.6225,116.2165,1.7559
0.1243,0.4831,115.8996,1.7559
0.118,0.4332,115.6887,1.7559
0.1223,0.5584,115.3661,1.7559
0.1231,0.4821,115.1524,1.7559
0.1229,0.3892,114.8255,1.7559
0.1149,0.5359,114.6032,1.7559
0.1133,0.4289,114.2678,1.7559
0.115,0.3834,114.0423,1.7559
0.1035,0.4842,113.6985,1.7559
0.1018,0.4074,113.4702,1.7559
0.0982,0.309,113.1216,1.7559
0.0817,0.2054,112.8848,1.7559
0.0781,0.3234,112.5283,1.7559
0.0794,0.2657,112.1695,1.7558
0.081,0.2669,111.9301,1.7558
0.0937,0.4501,111.5674,1.7558
0.0987,0.4147,111.327,1.7558
0.0996,0.3346,110.9575,1.7558
0.0942,0.4661,110.7075,1.7558
0.0868,0.3356,110.3284,1.7558
0.0816,0.2628,110.0734,1.7558
0.0627,0.3154,109.6888,1.7558
0.056,0.2314,109.4337,1.7558
0.0538,0.1743,109.0505,1.7558
0.0452,0.1043,108.7916,1.7558
0.0474,0.2695,108.404,1.7558
0.0527,0.256,108.1428,1.7558
0.0699,0.5374,107.7507,1.7557
0.0869,0.5382,107.489,1.7557
0.1032,0.5032,107.0947,1.7557
0.1019,0.4341,106.8291,1.7558
0.1015,0.5272,106.4266,1.7558
0.0938,0.4062,106.1574,1.7558
0.0804,0.2547,105.7505,1.7558
0.0734,0.3835,105.476,1.7558
0.0674,0.2709,105.0646,1.7558
0.0674,0.252,104.793,1.7558
0.0786,0.4385,104.3885,1.7558
0.0853,0.4074,104.1199,1.7558
0.0907,0.3673,103.7104,1.7558
0.0985,0.5836,103.4369,1.7558
0.1007,0.4648,103.0273,1.7558
0.0958,0.3897,102.7497,1.7558
0.0926,0.5114,102.3317,1.7558
0.0861,0.397,102.0567,1.7558
0.0839,0.8493,101.6385,1.7558
0.0958,0.7624,101.3591,1.7558
0.1187,0.722,100.9393,1.7558
0.1307,1.3973,100.6601,1.7558
0.1761,1.2889,100.2447,1.7558
0.1965,1.192,99.9653,1.7558
0.2132,1.5994,99.5492,1.7558
0.2262,1.4196,99.2772,1.7559
0.2239,1.0754,98.8771,1.7559
0.2075,0.8371,98.6141,1.756
0.1997,1.0324,98.2211,1.756
0.1912,0.84,97.9627,1.756
0.1877,1.0464,97.57,1.756
0.1946,0.9215,97.31,1.7559
0.2025,0.7979,96.9181,1.7559
0.1911,0.6599,96.66,1.7559
0.1932,0.7816,96.2768,1.756
0.1925,0.6804,96.0177,1.756
0.1952,0.5746,95.6227,1.7559
0.1929,0.7037,95.3622,1.7559
0.192,0.5706,94.9735,1.7559
0.1911,0.5011,94.7105,1.7559
0.174,0.4773,94.3249,1.7559
0.1648,0.3745,94.0719,1.7559
0.1506,0.2451,93.6863,1.7559
0.1339,0.1442,93.4288,1.7559
0.121,0.1348,93.0374,1.7558
0.1206,0.1257,92.7715,1.7558
0.1326,0.187,92.366,1.7558
0.1415,0.2445,92.0935,1.7558
0.1488,0.2555,91.684,1.7557
0.1468,0.2185,91.4117,1.7557
0.1211,0.0267,91.0105,1.7557
0.0967,-0.0944,90.7461,1.7557
0.0613,-0.2385,90.3473,1.7557
0.0417,-0.4014,90.0789,1.7557
0.0229,-0.3939,89.6736,1.7557
0.0222,-0.3207,89.403,1.7557
0.0364,-0.316,89.0004,1.7558
0.0483,-0.1882,88.7308,1.7558
0.0615,-0.0588,88.323,1.7559
0.0718,-0.244,88.0486,1.7558
0.0626,-0.2077,87.6392,1.7558
0.0453,-0.2485,87.3698,1.7557
0.0241,-0.6235,86.9672,1.7558
0.0024,-0.6257,86.7021,1.7558
-0.0165,-0.5581,86.2961,1.7559
-0.0152,-0.4545,86.0246,1.7559
-0.0237,-0.7231,85.6167,1.7559
-0.024,-0.6005,85.3466,1.7559
-0.0344,-1.0307,84.9368,1.7559
-0.0537,-0.9478,84.6626,1.7558
-0.0829,-0.8905,84.249,1.7558
-0.0956,-0.8027,83.9736,1.7558
-0.1345,-1.2783,83.5663,1.7559
-0.1488,-1.1471,83.2947,1.7559
-0.1715,-1.7559,82.8845,1.7559
-0.1982,-1.6104,82.6132,1.7559
-0.2234,-1.3568,82.2123,1.7559
-0.2299,-1.7352,81.9467,1.7559
-0.2431,-1.4544,81.5558,1.756
