cte,cte_pid,pos_x,pos_y
-0.0002316057,-0.0009655824,125.0259,0.5997285
-0.0006805157,-0.002306384,125.0256,0.5991863
-0.001159176,-0.004913046,125.0256,0.5980349
-0.001919623,-0.008707744,125.026,0.595956
-0.002413923,-0.01148044,125.0266,0.5947181
-0.003351341,-0.01604596,125.028,0.5934052
-0.003955588,-0.01912342,125.0293,0.5930734
-0.004961894,-0.02351221,125.0317,0.5933016
0.02245145,-0.02724514,125.0337,0.5937425
0.01922706,-0.03232322,125.037,0.5945029
0.01677094,-0.03497292,125.0394,0.5949041
0.01272198,-0.03895161,125.0433,0.5951871
0.009832543,-0.0417528,125.0462,0.5951383
0.005043744,-0.07754549,125.0508,0.5948933
0.03830372,-0.0843994,125.0542,0.5947114
0.03067362,-0.09337599,125.0598,0.5944797
0.02538606,-0.09891483,125.0639,0.5943918
0.01738954,-0.107424,125.071,0.5944473
0.01202887,-0.1132292,125.0762,0.594604
0.003858297,-0.1181001,125.0848,0.594915
-0.001569958,-0.1213603,125.0912,0.595127
-0.009659704,-0.1261608,125.1015,0.5953604
-0.01503877,-0.1276557,125.109,0.5953963
0.00295813,-0.1781982,125.121,0.595271
-0.003956873,-0.1814129,125.1297,0.5951201
-0.01406275,-0.183593,125.1439,0.5948579
-0.02054317,-0.1830118,125.1542,0.5946825
-0.02975055,-0.1798182,125.171,0.5944969
-0.03550982,-0.1764326,125.1832,0.594449
-0.04353764,-0.1693408,125.2028,0.5944903
-0.04847744,-0.1634075,125.2169,0.5945804
-0.0418523,-0.2016575,125.2394,0.5947694
-0.04712959,-0.1955285,125.2554,0.5949075
-0.05427238,-0.1828787,125.2811,0.5950905
-0.05846573,-0.1729636,125.2992,0.5951755
-0.06383698,-0.156521,125.3283,0.595229
-0.06679393,-0.1448187,125.3487,0.5952155
-0.06700745,-0.1584437,125.3811,0.5951379
-0.06910358,-0.1468083,125.4039,0.5950649
-0.07134315,-0.127509,125.4396,0.5949529
-0.0722383,-0.1141661,125.4646,0.5948893
-0.0727189,-0.09421117,125.5036,0.5948259
-0.0797407,-0.0897178,125.5306,0.5948079
-0.07750212,-0.0712508,125.5726,0.5948162
-0.0755429,-0.05933111,125.6016,0.5948403
-0.07202976,-0.04260355,125.6462,0.594893
-0.06933956,-0.03237268,125.6768,0.5950087
-0.08258769,-0.0009862749,125.7235,0.5956357
-0.07742081,0.0124533,125.7554,0.5956465
-0.06939206,0.03220298,125.8036,0.596068
-0.06409759,0.0558902,125.836,0.5963106
-0.05552514,0.06660233,125.886,0.5961666
-0.07747298,0.1169191,125.92,0.5959789
-0.06291326,0.08765369,125.9715,0.5956444
-0.05359057,0.06171106,126.0058,0.5953535
-0.04149171,0.07064595,126.0559,0.5952196
-0.07520994,0.1499239,126.0892,0.5952262
-0.05644273,0.1179889,126.1382,0.5955058
-0.04541181,0.1189361,126.1695,0.5957751
-0.02987788,0.09453143,126.2161,0.5956451
-0.07501321,0.217103,126.2463,0.59559
-0.05054396,0.1688277,126.2899,0.5956746
-0.03607519,0.1581503,126.3172,0.595614
-0.01605822,0.1234483,126.3568,0.5952846
-0.06982787,0.297112,126.382,0.5950599
-0.03799654,0.2576915,126.4169,0.5951416
-0.01836311,0.208578,126.4386,0.5951355
-0.0798484,0.4209343,126.4678,0.5953398
-0.05065805,0.3887986,126.4844,0.5953701
-0.01119746,0.3110089,126.5048,0.5955706
0.01212751,0.2483812,126.5154,0.5957291
-0.04777671,0.5096942,126.5268,0.5955248
-0.0125347,0.4771321,126.5299,0.5954878
0.03567065,0.3421046,126.5293,0.5950546
-0.05456959,0.7253634,126.5246,0.5951515
0.01538333,0.5998144,126.5086,0.5951562
0.0567398,0.4925317,126.4922,0.5949303
-0.0199387,0.9052806,126.4589,0.5948336
0.03840384,0.8078318,126.4288,0.5947519
-0.0729864,1.281891,126.3726,0.5943291
0.005585433,1.110271,126.3257,0.594043
0.1069043,0.8230343,126.241,0.5937456
-0.04614931,1.508082,126.1747,0.5932265
0.08400755,1.196744,126.0573,0.592478
0.1566414,0.9743565,125.9681,0.5918865
0.06533865,1.701816,125.8196,0.5904784
0.1566092,1.510976,125.71,0.5896192
