cte,cte_pid,pos_x,pos_y
-0.0003234321,-0.000532102,125.0073,0.5998339
-0.0004379725,-0.0005384558,125.0072,0.599604
-0.0005504937,-0.001209182,125.0072,0.5979122
-0.0005355604,-0.001805514,125.0074,0.5964055
-0.0006312371,-0.002682925,125.0078,0.5941705
-0.0007083008,-0.002967144,125.0081,0.593111
-0.0008216557,-0.003325412,125.0088,0.5923904
-0.0008092265,-0.004341406,125.0095,0.5925156
0.008074951,-0.005115077,125.0105,0.5933235
0.007446866,-0.005463635,125.0112,0.5940492
0.006456238,-0.006761794,125.0124,0.5950924
0.005656112,-0.006760015,125.0133,0.5955968
0.004391606,-0.007088307,125.0147,0.5958993
0.003417664,-0.006059571,125.0156,0.5957127
0.01416521,-0.02057324,125.0174,0.5951729
0.01269465,-0.02308722,125.0188,0.5947913
0.01042352,-0.02747209,125.0211,0.5943135
0.008732076,-0.02797346,125.0226,0.5942075
0.006214914,-0.0297406,125.0252,0.5942976
0.004532171,-0.03139611,125.0271,0.594451
0.001935953,-0.03239784,125.0302,0.5947807
0.0002063807,-0.03301556,125.0324,0.5949766
-0.002360456,-0.0339201,125.036,0.5951365
0.00454828,-0.05219956,125.0387,0.5951666
0.001088379,-0.05369223,125.0429,0.5951069
-0.001155159,-0.05405641,125.046,0.5949925
-0.004395146,-0.05382106,125.0511,0.5947925
-0.006453557,-0.05318117,125.0547,0.5946896
-0.009366942,-0.05150887,125.0607,0.5946047
-0.01116598,-0.04995703,125.065,0.5946006
-0.009104306,-0.06481852,125.0719,0.5946668
-0.01109253,-0.06325496,125.0769,0.594743
-0.01383079,-0.05966593,125.0849,0.594871
-0.01545518,-0.05668349,125.0906,0.5949463
-0.01760759,-0.05159173,125.0997,0.5950214
-0.01759643,-0.05914038,125.1062,0.5950404
-0.01927427,-0.05359855,125.1165,0.595027
-0.02017045,-0.04938013,125.1238,0.5949977
-0.02116968,-0.04264322,125.1354,0.5949408
-0.02160613,-0.03801204,125.1435,0.5949041
-0.02434093,-0.03429985,125.1563,0.5948642
-0.02408219,-0.02981444,125.1651,0.5948513
-0.02341235,-0.023128,125.1789,0.5948534
