cte,cte_pid,pos_x,pos_y
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
0.0,0.0,125.1239,1.8575
-0.0645,-0.0645,125.1239,1.8575
0.0753,0.0753,125.0988,1.7
0.0,0.0,125.0988,1.7
0.0,0.0,125.0988,1.7
0.0,0.0,125.0988,1.7
0.0,0.0,125.0988,1.7253
0.0,0.0,125.0988,1.745
0.0,0.0,125.0988,1.7638
0.0,0.0,125.0988,1.7679
0.0,0.0,125.0988,1.7658
0.0,0.0,125.0988,1.7622
0.0,0.0,125.0988,1.7577
0.0,0.0,125.0988,1.7561
0.0,0.0,125.0988,1.7557
0.0,0.0,125.0988,1.7562
0.0,0.0,125.0988,1.7571
0.0,0.0,125.0988,1.7576
0.0,0.0,125.0988,1.7579
0.0,0.0,125.0988,1.7579
0.0,0.0,125.0988,1.7577
0.0002,0.0002,125.0989,1.7576
0.0002,0.0002,125.0996,1.7575
0.0,0.0,125.1009,1.7574
-0.0006,-0.0006,125.104,1.7573
-0.0011,-0.0011,125.107,1.7572
-0.0021,-0.0021,125.1127,1.7571
-0.0029,-0.0029,125.1173,1.757
-0.0043,-0.0043,125.1255,1.7569
-0.0053,-0.0053,125.1319,1.7569
-0.0068,-0.0068,125.143,1.7567
-0.0079,-0.0079,125.1512,1.7567
-0.0017,-0.0017,125.1648,1.7566
-0.0056,-0.0056,125.1747,1.7565
-0.0118,-0.0118,125.1908,1.7564
-0.0166,-0.0166,125.2019,1.7563
-0.0239,-0.0239,125.2202,1.7562
-0.0286,-0.0286,125.2337,1.7561
-0.0354,-0.0354,125.2556,1.756
-0.0348,-0.0348,125.2715,1.756
-0.0447,-0.0447,125.2971,1.7559
-0.051,-0.051,125.3156,1.7558
-0.0607,-0.0607,125.3445,1.7557
-0.0665,-0.0665,125.3656,1.7563
-0.0717,-0.0717,125.3993,1.7572
-0.0774,-0.0774,125.424,1.7571
-0.0847,-0.0847,125.4634,1.7566
-0.0888,-0.0888,125.4911,1.7563
-0.0932,-0.0932,125.536,1.7561
-0.0946,-0.0946,125.568,1.756
-0.096,-0.096,125.6192,1.7561
-0.0956,-0.0956,125.6552,1.7561
-0.0932,-0.0932,125.7123,1.7561
-0.0907,-0.0907,125.7523,1.756
-0.0831,-0.0831,125.8148,1.756
-0.0769,-0.0769,125.8583,1.7559
-0.0659,-0.0659,125.9261,1.7559
-0.0572,-0.0572,125.9726,1.7558
-0.0399,-0.0399,126.0438,1.7558
-0.0283,-0.0283,126.0918,1.7558
-0.0107,-0.0107,126.1651,1.7557
0.0057,0.0057,126.2137,1.7557
0.0293,0.0293,126.2861,1.7557
0.0402,0.0402,126.3338,1.7557
0.0713,0.0713,126.4037,1.7556
0.0896,0.0896,126.4482,1.7556
0.1116,0.1116,126.5125,1.7556
0.1351,0.1351,126.5521,1.7556
0.1653,0.1653,126.6067,1.7555
0.1764,0.1764,126.6394,1.7555
0.2148,0.2148,126.6816,1.7555
0.2347,0.2347,126.7041,1.7555
0.2618,0.2618,126.7315,1.7555
0.2888,0.2888,126.743,1.7555
0.3191,0.3191,126.7501,1.7555
0.3417,0.3417,126.7471,1.7555
0.3827,0.3827,126.7301,1.7555
0.3961,0.3961,126.7102,1.7555
0.4565,0.4565,126.6695,1.7555
0.4862,0.4862,126.6319,1.7555
0.5456,0.5456,126.5617,1.7555
0.5896,0.5896,126.5031,1.7555
0.6488,0.6488,126.3979,1.7556
0.709,0.709,126.314,1.7556
0.7762,0.7762,126.1667,1.7556
0.8417,0.8417,126.0548,1.7556
0.9336,0.9336,125.8656,1.7557
0.9776,0.9776,125.7242,1.7557
1.0913,1.0913,125.4903,1.7557
1.1499,1.1499,125.3224,1.7557
1.2373,1.2373,125.0545,1.7558
1.3039,1.3039,124.8642,1.7558
1.3808,1.3808,124.5625,1.7558
1.4318,1.4318,124.3531,1.7558
1.5118,1.5118,124.0284,1.7558
1.527,1.527,123.8033,1.7558
1.6035,1.6035,123.4539,1.7559
1.6436,1.6436,123.2165,1.7524
1.6976,1.6976,122.8597,1.7403
1.7283,1.7283,122.6204,1.7293
1.7866,1.7866,122.2567,1.718
1.8052,1.8052,122.0093,1.7187
1.8023,1.8023,121.6342,1.7238
1.8062,1.8062,121.3787,1.7259
1.7948,1.7948,120.995,1.7373
1.7668,1.7668,120.7383,1.7545
1.712,1.712,120.3523,1.7668
1.6827,1.6827,120.0963,1.7656
1.6159,1.6159,119.7144,1.7586
1.5422,1.5422,119.4619,1.7552
1.4525,1.4525,119.0869,1.7534
1.3822,1.3822,118.8408,1.7539
1.2607,1.2607,118.4758,1.7555
1.1564,1.1564,118.2362,1.7563
1.0209,1.0209,117.8846,1.7567
0.9239,0.9239,117.6529,1.7567
0.7715,0.7715,117.3092,1.7563
0.6677,0.6677,117.0808,1.7562
0.5038,0.5038,116.7354,1.756
0.4053,0.4053,116.5018,1.756
0.2567,0.2567,116.1445,1.756
0.1603,0.1603,115.9007,1.756
0.0148,0.0148,115.528,1.756
-0.0642,-0.0642,115.2743,1.756
-0.1741,-0.1741,114.8884,1.7559
-0.2387,-0.2387,114.6274,1.7559
-0.328,-0.328,114.2328,1.7559
-0.3674,-0.3674,113.967,1.7559
-0.413,-0.413,113.5678,1.7559
-0.4436,-0.4436,113.3009,1.7559
-0.4487,-0.4487,112.8999,1.7559
-0.4439,-0.4439,112.6315,1.7559
-0.4249,-0.4249,112.229,1.7559
-0.4123,-0.4123,111.9597,1.7559
-0.3636,-0.3636,111.5518,1.7559
-0.3274,-0.3274,111.2784,1.7559
-0.2662,-0.2662,110.8635,1.7558
-0.2248,-0.2248,110.5842,1.7558
-0.1459,-0.1459,110.1603,1.7558
-0.095,-0.095,109.8738,1.7558
-0.0213,-0.0213,109.4399,1.7557
0.0353,0.0353,109.1477,1.7557
0.1151,0.1151,108.7055,1.7557
0.1547,0.1547,108.4084,1.7557
0.2337,0.2337,107.9604,1.7556
0.2783,0.2783,107.6611,1.7556
0.3358,0.3358,107.2117,1.7556
0.3688,0.3688,106.9127,1.7556
0.415,0.415,106.4666,1.7556
0.4258,0.4258,106.1714,1.7557
0.462,0.462,105.733,1.7557
0.4758,0.4758,105.4434,1.7557
0.4844,0.4844,105.0124,1.7557
0.4969,0.4969,104.7282,1.7557
0.5117,0.5117,104.3082,1.7557
0.5053,0.5053,104.0308,1.7557
0.5382,0.5382,103.6197,1.7557
0.5505,0.5505,103.3502,1.7557
0.5627,0.5627,102.951,1.7557
0.5818,0.5818,102.6901,1.7557
0.5947,0.5947,102.3078,1.7557
0.595,0.595,102.0593,1.7557
0.6085,0.6085,101.6977,1.7558
0.6069,0.6069,101.4636,1.7558
0.5974,0.5974,101.1214,1.7558
0.5943,0.5943,100.9005,1.7558
0.576,0.576,100.5795,1.7558
0.5565,0.5565,100.3708,1.7558
0.5341,0.5341,100.0663,1.7558
0.512,0.512,99.8686,1.7558
0.4714,0.4714,99.5778,1.7558
0.4474,0.4474,99.3873,1.7558
0.4028,0.4028,99.1062,1.7558
0.3675,0.3675,98.9205,1.7558
0.3214,0.3214,98.6455,1.7557
0.2876,0.2876,98.4628,1.7557
0.2326,0.2326,98.1889,1.7557
0.2003,0.2003,98.0053,1.7557
0.1492,0.1492,97.7288,1.7556
0.1145,0.1145,97.5426,1.7556
0.0663,0.0663,97.2614,1.7556
0.0353,0.0353,97.0714,1.7556
-0.0095,-0.0095,96.7827,1.7556
-0.037,-0.037,96.5869,1.7555
-0.075,-0.075,96.2886,1.7555
-0.0968,-0.0968,96.0859,1.7555
-0.1287,-0.1287,95.7764,1.7555
-0.1457,-0.1457,95.566,1.7555
-0.1684,-0.1684,95.2448,1.7555
-0.1824,-0.1824,95.0264,1.7555
-0.1967,-0.1967,94.693,1.7555
-0.2061,-0.2061,94.4666,1.7554
-0.2191,-0.2191,94.1212,1.7554
-0.218,-0.218,93.8869,1.7554
-0.2339,-0.2339,93.5296,1.7554
-0.2392,-0.2392,93.2874,1.7554
-0.2445,-0.2445,92.9193,1.7554
-0.2555,-0.2555,92.6699,1.7554
-0.2638,-0.2638,92.2901,1.7554
-0.2724,-0.2724,92.0333,1.7554
-0.2926,-0.2926,91.6425,1.7554
-0.2918,-0.2918,91.3781,1.7554
-0.3282,-0.3282,90.9759,1.7554
-0.3449,-0.3449,90.7038,1.7554
-0.3721,-0.3721,90.2912,1.7554
-0.4009,-0.4009,90.0119,1.7554
-0.4303,-0.4303,89.5877,1.7554
-0.4522,-0.4522,89.3015,1.7554
-0.4774,-0.4774,88.868,1.7555
-0.4816,-0.4816,88.576,1.7555
-0.4823,-0.4823,88.1341,1.7555
-0.4714,-0.4714,87.8377,1.7555
-0.4438,-0.4438,87.3911,1.7555
-0.421,-0.421,87.0914,1.7555
-0.3759,-0.3759,86.6392,1.7555
-0.3429,-0.3429,86.3365,1.7555
-0.2911,-0.2911,85.8794,1.7555
-0.2489,-0.2489,85.5726,1.7555
-0.1979,-0.1979,85.1092,1.7555
-0.1628,-0.1628,84.7988,1.7555
-0.1078,-0.1078,84.3308,1.7555
-0.08,-0.08,84.0171,1.7555
-0.0385,-0.0385,83.5445,1.7554
-0.011,-0.011,83.2287,1.7554
0.0134,0.0134,82.7535,1.7554
0.0273,0.0273,82.436,1.7554
0.0428,0.0428,81.9592,1.7554
0.0435,0.0435,81.6408,1.7554
0.042,0.042,81.1622,1.7554
0.0367,0.0367,80.8428,1.7554
0.0169,0.0169,80.3625,1.7554
0.0101,0.0101,80.0416,1.7554
-0.0263,-0.0263,79.5589,1.7553
-0.0493,-0.0493,79.236,1.7553
-0.0816,-0.0816,78.7503,1.7553
-0.1118,-0.1118,78.4252,1.7553
-0.1514,-0.1514,77.936,1.7553
-0.1739,-0.1739,77.6087,1.7553
-0.2169,-0.2169,77.1162,1.7553
-0.2388,-0.2388,76.787,1.7553
-0.2725,-0.2725,76.2926,1.7553
-0.294,-0.294,75.9626,1.7553
-0.3138,-0.3138,75.4676,1.7554
-0.3346,-0.3346,75.1378,1.7554
-0.3525,-0.3525,74.6444,1.7554
-0.3589,-0.3589,74.316,1.7554
-0.3768,-0.3768,73.8247,1.7554
-0.3689,-0.3689,73.4986,1.7554
-0.3898,-0.3898,73.0113,1.7554
-0.3949,-0.3949,72.6878,1.7554
-0.3968,-0.3968,72.2039,1.7554
-0.4072,-0.4072,71.8832,1.7554
-0.4098,-0.4098,71.4058,1.7554
-0.4166,-0.4166,71.0893,1.7554
-0.4286,-0.4286,70.6178,1.7555
